,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
30-Sep,1,7,,,31,,10,66,12,21,80,8,23,12,6,20,82,6,27,2,6,0
1-Oct,0,15,,,40,248,7,44,17,6,98,33,5,30,4,15,78,10,66,0,4,9
2-Oct,2,14,,,54,301,13,45,10,8,43,33,9,194,9,19,146,8,26,0,5,2
3-Oct,11,16,,,41,242,28,49,4,9,21,201,12,97,18,21,62,6,26,3,6,5
4-Oct,3,16,,,32,192,44,55,0,2,51,164,17,77,12,24,120,19,6,1,3,16
5-Oct,3,12,,,28,145,54,35,7,4,628,68,6,85,14,27,86,30,49,0,0,31
6-Oct,1,19,,,6,123,40,63,8,22,516,72,4,47,21,8,121,19,18,2,1,14
7-Oct,21,8,,,11,142,44,29,12,0,196,43,12,29,5,11,59,57,26,0,0,29
8-Oct,11,65,,,11,111,33,20,1,18,0,16,6,161,16,20,57,51,12,4,3,11
9-Oct,11,54,,75,13,150,34,8,9,31,276,179,29,84,15,32,87,53,20,23,4,25
10-Oct,15,16,218,30,24,107,8,3,13,22,153,162,78,67,10,65,98,114,6,2,9,15
11-Oct,6,39,330,478,16,128,15,3,,63,131,96,64,25,29,18,143,181,7,4,2,19
12-Oct,20,39,320,2016,66,74,14,27,63,49,88,49,68,26,12,54,174,84,2,8,3,5
13-Oct,,27,60,785,58,77,1,36,70,47,64,51,55,20,10,181,191,66,3,8,12,8
14-Oct,26,44,135,288,56,75,25,7,80,49,9,42,33,10,9,221,174,55,24,2,5,4
15-Oct,30,59,580,109,82,98,607,10,52,354,144,49,31,7,6,191,122,45,1,2,11,2
16-Oct,31,32,189,67,164,55,294,16,56,285,22,37,39,8,2,119,101,28,10,6,13,8
17-Oct,37,24,120,80,107,98,463,36,75,134,19,25,53,3,3,877,64,40,18,10,33,0
18-Oct,27,29,72,52,124,100,338,34,47,5,35,77,67,10,6,0,43,27,33,3,36,16
19-Oct,13,1951,121,53,860,74,227,38,73,629,142,82,46,1,57,619,50,28,8,7,31,10
20-Oct,15,964,124,59,403,102,309,38,40,251,52,197,,6,46,571,21,67,19,3,22,19
21-Oct,10,151,38,58,144,95,245,45,33,210,237,154,85,34,20,0,16,53,107,0,12,19
22-Oct,11,41,221,31,134,106,206,37,9,166,221,59,88,67,18,0,30,100,48,2,8,8
23-Oct,9,301,138,34,913,96,132,76,7,156,176,,71,36,15,54,35,353,10,0,5,9
24-Oct,7,152,150,26,,121,90,134,7,53,150,137,83,61,4,10,95,120,22,2,6,28
