,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
18-Jun,3,3,1,3,10,5,0,2,5,2,12,3,2,1,2,1,0,1,0,0,2,0
19-Jun,2,3,0,1,12,1,,5,1,6,10,0,0,0,3,4,0,1,0,0,1,0
20-Jun,3,,0,0,10,2,2,2,0,8,5,1,4,0,0,6,0,0,0,0,1,0
21-Jun,0,,1,1,6,0,3,0,0,5,2,3,3,0,1,6,0,0,1,0,0,0
22-Jun,,,0,1,8,3,3,2,0,6,4,2,3,0,0,2,0,0,0,0,1,0
23-Jun,,0,0,1,3,1,4,1,0,5,5,3,0,0,0,4,0,0,0,0,0,1
24-Jun,0,2,0,0,2,3,2,2,0,3,10,0,0,0,2,3,0,0,0,0,0,0
25-Jun,0,1,0,1,5,0,2,0,0,2,5,2,1,0,0,4,0,0,0,0,1,0
26-Jun,0,0,1,2,1,2,1,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0
27-Jun,0,0,0,1,3,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
28-Jun,1,0,0,0,0,0,1,3,0,3,5,,0,0,0,0,0,0,0,0,1,0
29-Jun,1,0,0,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0
30-Jun,0,1,1,1,2,1,2,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
1-Jul,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2-Jul,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
3-Jul,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,5,0,0,0,1,0,0
4-Jul,0,0,0,0,0,0,2,1,2,,0,0,0,0,0,0,2,0,0,0,0,0
5-Jul,1,0,0,0,0,0,1,0,0,,1,0,0,0,1,0,0,0,0,0,0,0
6-Jul,0,0,0,0,1,0,2,0,3,0,,0,0,0,0,2,0,0,0,0,0,0
7-Jul,0,0,0,0,0,0,3,1,2,0,,0,1,0,0,0,0,0,0,0,0,0
8-Jul,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9-Jul,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10-Jul,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11-Jul,0,0,0,1,0,1,,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0
12-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
15-Jul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
16-Jul,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17-Jul,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Jul,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
20-Jul,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jul,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22-Jul,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jul,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jul,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25-Jul,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
26-Jul,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27-Jul,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28-Jul,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29-Jul,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jul,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Aug,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3-Aug,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Aug,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Aug,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6-Aug,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Aug,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Aug,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
11-Aug,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Aug,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Aug,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16-Aug,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17-Aug,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18-Aug,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Aug,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,4,0
20-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
21-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Aug,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23-Aug,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
28-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
29-Aug,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
30-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31-Aug,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
1-Sep,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0
2-Sep,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
4-Sep,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
5-Sep,0,0,,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2,0
6-Sep,0,0,,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0
7-Sep,0,0,,0,0,0,2,0,,0,0,0,0,0,1,1,0,0,0,1,0,0
