,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
2-Jul,2,2,22,5,81,27,5,4,0,143,11,0,2,22,0,0,0,0,0,0,0,0
3-Jul,6,9,23,1,67,26,0,10,5,142,3,4,2,8,0,0,0,0,0,0,0,0
4-Jul,8,13,10,2,62,27,2,2,42,,,12,1,56,0,0,0,0,0,0,0,0
5-Jul,24,27,36,2,19,69,12,10,40,,,17,4,34,0,0,0,0,0,0,0,0
6-Jul,7,3,59,2,71,103,24,3,72,78,40,0,4,23,0,0,0,0,0,0,0,0
7-Jul,3,15,23,4,66,166,42,5,24,83,39,6,2,19,0,0,0,0,0,0,0,0
8-Jul,9,5,36,5,99,140,16,1,25,99,15,3,12,10,0,0,0,0,0,0,0,0
9-Jul,1,9,19,6,58,136,10,4,21,100,20,23,3,28,0,0,0,0,0,0,0,0
10-Jul,0,19,8,4,36,119,,22,6,150,30,10,23,14,0,0,0,0,0,0,0,0
11-Jul,6,11,13,5,33,69,,69,0,41,39,21,23,5,0,0,0,0,0,0,0,0
12-Jul,0,17,10,2,19,100,3,65,0,120,25,6,80,6,0,0,0,0,0,0,0,0
13-Jul,7,14,0,5,36,154,7,65,0,228,37,0,0,11,0,0,0,0,0,0,0,0
14-Jul,3,24,9,5,39,126,10,13,18,193,12,0,0,11,0,0,0,0,0,0,0,0
15-Jul,7,16,7,4,62,140,9,21,51,196,14,0,81,0,0,0,0,0,0,0,0,0
16-Jul,10,15,4,4,82,196,2,58,44,120,17,1,0,0,1,0,0,0,0,0,0,0
17-Jul,6,11,10,1,84,124,4,48,35,78,7,10,0,0,0,0,0,0,0,0,0,0
18-Jul,4,13,3,0,0,68,11,27,20,89,9,49,47,0,0,0,0,0,0,0,0,0
19-Jul,3,7,8,1,0,54,69,67,19,63,9,0,15,0,0,0,0,0,0,0,0,0
20-Jul,3,4,1,0,0,43,69,43,13,83,8,0,0,0,0,0,0,0,0,0,0,0
21-Jul,5,1,2,1,0,18,45,26,18,41,8,30,0,0,0,0,0,0,0,0,0,0
22-Jul,2,2,1,0,126,22,120,76,34,64,4,0,30,0,0,0,0,0,0,0,0,0
23-Jul,0,2,2,2,296,17,88,82,11,32,16,26,0,0,0,0,0,0,0,0,0,0
24-Jul,0,3,4,2,193,6,122,31,62,31,14,0,4,0,0,0,0,0,0,0,0,0
25-Jul,0,4,1,0,115,11,78,80,11,106,15,1,15,0,0,0,0,0,0,0,0,0
26-Jul,0,1,1,1,117,23,73,89,19,168,17,15,6,0,0,0,0,0,0,0,0,0
27-Jul,0,1,3,1,77,25,60,34,9,88,6,3,0,0,0,0,0,0,0,0,0,0
28-Jul,0,1,0,3,76,37,62,36,10,33,9,0,21,0,0,0,0,0,0,0,0,0
29-Jul,0,1,2,0,28,61,47,12,8,25,15,2,0,0,0,0,0,0,0,0,0,0
30-Jul,0,2,1,0,42,26,14,56,10,42,10,3,0,0,0,0,0,0,0,0,0,0
