Model Yr,Species,1st day of collections,Position,# Released,# Recaptured,% Efficiency (not transformed),Discharge (cfs),Notes
2009,YCW & SBC,3/11/2007,Lower,106,36,34.9,328,YCW only
2009,YCW & SBC,3/13/2007,Lower,204,12,6.4,918,YCW only
2009,YCW & SBC,3/16/2007,Lower,200,22,11.5,597,YCW only
2009,YCW & SBC,3/18/2007,Lower,146,14,10.3,724,YCW only
2009,YCW & SBC,3/20/2007,Lower,200,29,15,719,YCW only
2009,YCW & SBC,3/27/2007,Lower,107,4,4.7,1072,YCW only
2009,YCW & SBC,3/29/2007,Lower,154,17,11.7,877,YCW only
2009,YCW & SBC,3/31/2007,Lower,103,9,9.7,835,YCW only
2009,YCW & SBC,4/2/2007,Lower,125,12,10.4,678,YCW only
2009,YCW & SBC,3/14/2007,Lower,187,44,24.1,741,YCW only
2009,YCW & SBC,4/9/2007,Lower,282,10,3.9,1149,YCW only
2009,YCW & SBC,3/23/2009,Lower,112,30,27.7,136,YCW only
2009,YCW & SBC,3/27/2009,Lower,113,25,23,139,YCW only
2009,YCW & SBC,3/31/2009,Lower,173,58,34.1,136,YCW only
2009,YCW & SBC,4/9/2009,Lower,115,42,37.4,272,YCW only
2009,YCW & SBC,4/11/2009,Lower,181,42,23.8,286,YCW only
2009,YCW & SBC,4/15/2009,Lower,179,42,24,322,YCW only
2009,YCW & SBC,5/15/2009,Lower,206,40,19.9,873,YCW only
2008,YCW & SBC,7/12/2004,Upper,115,21,19.1,335,Most likely SBC based on date
2008,YCW & SBC,8/6/2004,Upper,119,44,37.8,199,Most likely SBC based on date
2008,YCW & SBC,8/26/2004,Upper,125,45,36.8,231,Most likely SBC based on date
2008,YCW & SBC,8/30/2004,Upper,137,46,34.3,152,Most likely SBC based on date
2008,YCW & SBC,9/7/2004,Upper,199,84,42.7,121,Most likely SBC based on date
2008,YCW & SBC,11/7/2004,Upper,158,65,41.8,150,YCW only
2008,YCW & SBC,11/11/2004,Upper,153,47,31.4,232,YCW only
2008,YCW & SBC,11/24/2004,Upper,146,61,42.5,152,YCW only
2008,YCW & SBC,11/27/2004,Upper,200,69,35,269,YCW only
2008,YCW & SBC,11/2/2003,Upper,189,50,27,294,SBC only
2008,YCW & SBC,10/31/2003,Upper,123,39,32.5,343,SBC only
2008,YCW & SBC,11/9/2002,Upper,200,92,46.5,96,SBC only
2008,YCW & SBC,7/27/2006,Upper,123,14,12.2,445,
2008,YCW & SBC,8/2/2006,Upper,199,70,35.7,250,
2008,YCW & SBC,8/16/2006,Upper,100,34,35,165,
2008,YCW & SBC,8/30/2006,Upper,100,30,31,115,
2008,YCW & SBC,9/21/2006,Upper,100,31,32,102,
2008,YCW & SBC,11/10/2006,Upper,200,13,7,674,
2008,YCW & SBC,11/12/2006,Upper,200,22,11.5,562,
2008,YCW & SBC,11/14/2006,Upper,200,32,16.5,446,
2008,YCW & SBC,11/18/2006,Upper,200,37,19,354,
2008,YCW & SBC,11/20/2006,Upper,200,39,20,330,
2008,YCW & SBC,11/22/2006,Upper,200,43,22,306,
2008,YCW & SBC,2007,Upper,159,29,18.9,460,Nothing close in records
2008,YCW & SBC,8/14/2007,Upper,107,43,41.1,220,
2008,YCW & SBC,9/4/2007,Upper,136,46,34.6,142,
2008,YCW & SBC,9/12/2007,Upper,114,47,42.1,122,
2008,YCW & SBC,9/18/2007,Upper,105,28,27.6,115,
2008,YCW & SBC,10/3/2007,Upper,264,63,24.2,146,
2008,YCW & SBC,11/15/2007,Upper,100,31,32,185,
2008,SBC,3/14/2008,Lower,124,42,34.7,144,YCW only
2008,SBC,3/17/2008,Lower,140,52,37.9,142,YCW only
2008,SBC,4/1/2008,Lower,122,22,18.9,134,YCW only
2008,SBC,4/4/2008,Lower,102,23,23.5,140,YCW only
2008,SBC,4/10/2008,Lower,100,28,29,144,YCW only
2008,SBC,4/13/2008,Lower,100,39,40,243,YCW only
2008,SBC,4/23/2008,Lower,102,32,32.4,248,YCW only
2008,SBC,4/27/2008,Lower,102,42,42.2,292,YCW only
2008,SBC,4/30/2008,Lower,102,10,10.8,391,YCW only
2008,SBC,5/2/2008,Lower,183,35,19.7,430,YCW only
2008,SBC,5/6/2008,Lower,138,1,1.4,863,YCW from Lake Trap trial
2008,SBC,5/14/2008,Lower,111,2,2.7,1141,YCW from Lake Trap trial
