"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.182",2,2,4,3,511.021666472248,330,38,292,NA,NA
"result.183",3,2,4,3,Inf,NA,NA,NA,NA,NA
"result.184",4,2,4,3,504.750677934917,325,36,289,NA,NA
"result.185",1,3,4,3,497.688823753841,NA,NA,NA,NA,NA
"result.186",2,3,4,3,508.621660708465,NA,NA,NA,NA,NA
"result.187",3,3,4,3,491.608662872978,330,38,292,NA,NA
"result.188",4,3,4,3,499.058898614696,325,36,289,NA,NA
"result.189",1,4,4,3,501.858983355021,330,38,292,NA,NA
"result.190",2,4,4,3,504.750677934723,325,36,289,NA,NA
"result.191",3,4,4,3,498.554904960527,325,36,289,NA,NA
"result.192",4,4,4,3,498.479689501178,320,34,286,NA,NA
"result.193",1,1,1,4,539.134847333254,345,44,301,NA,NA
"result.194",2,1,1,4,Inf,NA,NA,NA,NA,NA
"result.195",3,1,1,4,541.194809294441,340,42,298,NA,NA
"result.196",4,1,1,4,538.074891709015,335,40,295,NA,NA
"result.197",1,2,1,4,Inf,NA,NA,NA,NA,NA
"result.198",2,2,1,4,Inf,NA,NA,NA,NA,NA
"result.199",3,2,1,4,537.716201285965,335,40,295,NA,NA
"result.200",4,2,1,4,538.456684699888,330,38,292,NA,NA
"result.201",1,3,1,4,539.709465599793,340,42,298,NA,NA
"result.202",2,3,1,4,Inf,NA,NA,NA,NA,NA
"result.203",3,3,1,4,538.540249890913,335,40,295,NA,NA
"result.204",4,3,1,4,531.803903248674,330,38,292,NA,NA
"result.205",1,4,1,4,533.808702820534,335,40,295,NA,NA
"result.206",2,4,1,4,Inf,NA,NA,NA,NA,NA
"result.207",3,4,1,4,528.981736023078,330,38,292,NA,NA
"result.208",4,4,1,4,525.534931996714,325,36,289,NA,NA
"result.209",1,1,2,4,535.628520121068,340,42,298,NA,NA
"result.210",2,1,2,4,Inf,NA,NA,NA,NA,NA
"result.211",3,1,2,4,540.335467481489,335,40,295,NA,NA
"result.212",4,1,2,4,Inf,NA,NA,NA,NA,NA
"result.213",1,2,2,4,543.716402691093,335,40,295,NA,NA
"result.214",2,2,2,4,Inf,NA,NA,NA,NA,NA
"result.215",3,2,2,4,539.081003791002,330,38,292,NA,NA
"result.216",4,2,2,4,526.350834803737,325,36,289,NA,NA
"result.217",1,3,2,4,536.065628260683,335,40,295,NA,NA
"result.218",2,3,2,4,Inf,NA,NA,NA,NA,NA
"result.219",3,3,2,4,534.690067604576,330,38,292,NA,NA
"result.220",4,3,2,4,526.340473334229,325,36,289,NA,NA
"result.221",1,4,2,4,535.479382441107,330,38,292,NA,NA
"result.222",2,4,2,4,526.350834805781,325,36,289,NA,NA
"result.223",3,4,2,4,522.965441646418,325,36,289,NA,NA
"result.224",4,4,2,4,520.079846368096,320,34,286,NA,NA
"result.225",1,1,3,4,548.445289999478,340,42,298,NA,NA
"result.226",2,1,3,4,Inf,NA,NA,NA,NA,NA
"result.227",3,1,3,4,542.414558870081,335,40,295,NA,NA
"result.228",4,1,3,4,Inf,NA,NA,NA,NA,NA
"result.229",1,2,3,4,551.148116037647,NA,NA,NA,NA,NA
"result.230",2,2,3,4,Inf,NA,NA,NA,NA,NA
"result.231",3,2,3,4,546.465981836745,NA,NA,NA,NA,NA
"result.232",4,2,3,4,542.134556350081,325,36,289,NA,NA
"result.233",1,3,3,4,537.231382251726,335,40,295,NA,NA
"result.234",2,3,3,4,536.271339935862,330,38,292,NA,NA
"result.235",3,3,3,4,541.356204701834,330,38,292,NA,NA
"result.236",4,3,3,4,530.000351503286,325,36,289,NA,NA
"result.237",1,4,3,4,543.692882411427,330,38,292,NA,NA
"result.238",2,4,3,4,Inf,NA,NA,NA,NA,NA
"result.239",3,4,3,4,538.563274501102,325,36,289,NA,NA
"result.240",4,4,3,4,523.742395605486,320,34,286,NA,NA
"result.241",1,1,4,4,543.928169382554,335,40,295,NA,NA
"result.242",2,1,4,4,Inf,NA,NA,NA,NA,NA
"result.243",3,1,4,4,539.320315576939,330,38,292,NA,NA
"result.244",4,1,4,4,541.87051230409,325,36,289,NA,NA
"result.245",1,2,4,4,543.886249865318,330,38,292,NA,NA
"result.246",2,2,4,4,Inf,NA,NA,NA,NA,NA
"result.247",3,2,4,4,538.501870584173,325,36,289,NA,NA
"result.248",4,2,4,4,538.016193722221,NA,NA,NA,NA,NA
"result.249",1,3,4,4,539.850039032182,330,38,292,NA,NA
"result.250",2,3,4,4,543.828751727256,325,36,289,NA,NA
"result.251",3,3,4,4,536.723381320828,325,36,289,NA,NA
"result.252",4,3,4,4,535.366651943433,320,34,286,NA,NA
"result.253",1,4,4,4,536.668145001073,325,36,289,NA,NA
"result.254",2,4,4,4,538.016193718547,320,34,286,NA,NA
"result.255",3,4,4,4,532.230882150609,320,34,286,NA,NA
"result.256",4,4,4,4,529.106113986786,315,32,283,NA,NA
